frequency_hz,target_rel_db
35,-12.0
50,-10.0
63,-8.0
80,-6.5
100,-5.0
125,-3.5
160,-2.0
200,-1.0
250,-0.5
315,0.0
400,0.3
500,0.4
630,0.2
800,0.0
1000,0.0
1250,-0.3
1600,-0.5
2000,-1.0
2500,-1.5
3150,-2.0
4000,-3.0
5000,-4.0
6300,-5.0
8000,-6.0
10000,-7.5
12500,-9.0
15000,-10.0
18000,-11.0
