frequency_hz,target_rel_db
40,-12.0
50,-10.0
63,-8.5
80,-7.0
100,-6.0
125,-5.2
160,-4.2
200,-3.4
250,-2.8
315,-2.4
400,-2.2
500,-2.0
630,-1.6
800,-0.8
1000,0.0
1250,-0.2
1600,-0.6
2000,-1.0
2500,-0.6
3150,0.0
4000,0.0
5000,-2.0
6300,-2.8
8000,-3.6
10000,-4.5
12500,-6.5
15000,-8.0
16000,-9.0
18000,-10.0
