freq_hz,mag_db
64.819336,24.60
65.002441,27.62
65.185547,28.26
65.368652,26.42
65.551758,22.17
65.734863,13.23
65.917969,13.44
66.101074,21.65
66.284180,24.26
66.467285,24.36
66.650391,21.12
66.833496,13.59
67.016602,12.94
67.199707,16.84
67.382812,22.67
67.565918,25.28
67.749023,26.67
67.932129,27.12
68.115234,27.93
68.298340,27.23
68.481445,24.72
68.664551,22.77
68.847656,24.94
69.030762,25.39
69.213867,20.39
69.396973,19.42
69.580078,27.33
69.763184,30.32
69.946289,30.05
70.129395,29.50
70.312500,32.81
70.495605,35.83
70.678711,36.78
70.861816,35.46
71.044922,32.41
71.228027,31.12
71.411133,32.02
71.594238,32.25
71.777344,30.10
71.960449,30.21
72.143555,32.74
72.326660,35.13
72.509766,36.77
72.692871,37.25
72.875977,36.62
73.059082,33.35
73.242188,27.60
73.425293,28.05
73.608398,31.38
73.791504,31.40
73.974609,31.48
74.157715,35.07
74.340820,37.21
74.523926,36.73
74.707031,33.96
74.890137,32.17
75.073242,34.15
75.256348,35.87
75.439453,36.47
75.622559,36.40
75.805664,36.13
75.988770,35.83
76.171875,36.68
76.354980,37.64
76.538086,37.46
76.721191,36.87
76.904297,37.99
77.087402,39.61
77.270508,40.32
77.453613,39.69
77.636719,38.93
77.819824,38.71
78.002930,38.24
78.186035,37.94
78.369141,39.45
78.552246,40.88
78.735352,40.86
78.918457,40.06
79.101562,39.84
79.284668,40.50
79.467773,40.05
79.650879,37.64
79.833984,33.13
80.017090,24.51
80.200195,26.28
80.383301,35.10
80.566406,39.65
80.749512,41.45
80.932617,41.50
81.115723,40.38
81.298828,39.91
81.481934,41.69
81.665039,43.95
81.848145,45.40
82.031250,45.98
82.214355,45.32
82.397461,43.75
82.580566,41.10
82.763672,36.86
82.946777,30.10
83.129883,18.51
83.312988,30.53
83.496094,32.76
83.679199,32.80
83.862305,31.47
84.045410,29.16
84.228516,22.32
84.411621,29.20
84.594727,35.51
84.777832,38.14
84.960938,38.19
85.144043,38.01
85.327148,38.73
85.510254,39.31
85.693359,39.30
85.876465,38.57
86.059570,38.13
86.242676,37.53
86.425781,36.02
86.608887,34.64
86.791992,32.63
86.975098,27.77
87.158203,28.85
87.341309,34.04
87.524414,36.06
87.707520,34.83
87.890625,32.10
88.073730,26.85
88.256836,24.54
88.439941,30.04
88.623047,34.70
88.806152,37.50
88.989258,38.83
89.172363,37.71
89.355469,34.03
89.538574,30.26
89.721680,33.27
89.904785,34.75
90.087891,32.70
90.270996,25.04
90.454102,18.88
90.637207,29.58
90.820312,31.64
91.003418,30.59
91.186523,28.23
91.369629,31.07
91.552734,34.79
91.735840,36.27
91.918945,35.71
92.102051,33.19
92.285156,27.78
92.468262,8.97
92.651367,22.96
92.834473,25.53
93.017578,21.22
93.200684,23.93
93.383789,29.97
93.566895,31.67
93.750000,29.83
93.933105,24.28
94.116211,25.62
94.299316,29.67
94.482422,30.10
94.665527,27.07
94.848633,20.89
95.031738,18.94
95.214844,21.71
95.397949,27.36
95.581055,31.72
95.764160,34.35
95.947266,36.83
96.130371,39.62
96.313477,41.49
96.496582,41.79
96.679688,41.02
96.862793,40.26
97.045898,40.11
97.229004,38.98
97.412109,34.97
97.595215,22.57
97.778320,26.28
97.961426,32.43
98.144531,34.43
98.327637,36.00
98.510742,37.28
98.693848,38.17
98.876953,38.72
99.060059,39.25
99.243164,39.85
99.426270,39.62
99.609375,37.73
99.792480,32.85
99.975586,26.26
100.158691,34.37
100.341797,39.09
100.524902,41.16
100.708008,40.72
100.891113,36.99
101.074219,23.54
101.257324,30.60
101.440430,33.47
101.623535,29.46
101.806641,31.47
101.989746,36.69
